Scenario,Estimator,Bias,ASE,ESE,SER,RMSE,C,Diag,DiagC
1,Naive MS,0.044067047156219355,5.829699984132207,5.9258086068837645,0.9837813488204947,5.925972456066833,0.9465,0.04792108961559048,0.9435
1,Naive SS,0.09198813677180981,4.019120645495705,4.141711706660116,0.9704008704982345,4.142733116964234,0.9375,,
1,Bridge MS,0.06651274928392614,5.8362273714907795,5.918365029481529,0.9861215626982127,5.918738764974106,0.9455,0.0011305725629191686,0.943
1,Bridge SS,0.030995198894642643,3.310299605946593,3.3812329181720875,0.9790214652636702,3.3813749791002254,0.9385,,
2,Naive MS,-4.461392426894574,4.633231039148536,4.592011717810645,1.0089763101383251,6.40238971035523,0.838,13.7823128351686,0.0315
2,Naive SS,9.320920408274025,3.0295650431323073,3.0242572998557313,1.0017550567793387,9.79926984387663,0.1505,,
2,Bridge MS,-0.08858410226922445,7.101733135018032,7.171127678571207,0.990323064005604,7.171674792232628,0.944,0.10866185356971442,0.9425
2,Bridge SS,0.0378400025928015,4.304558059834759,4.437105170146965,0.9701275707404934,4.437266518560853,0.939,,
3,Naive MS,11.619052248848021,4.92866659626911,4.839512950782683,1.0184220284960717,12.58663023856082,0.35,-2.3642944159463037,0.9195
3,Naive SS,9.254757832901719,3.030286056963258,3.006989196258899,1.0077475704712686,9.731008507450472,0.157,,
3,Bridge MS,19.705484585895555,7.101315384131462,7.130209762888582,0.9959476116807235,20.95581098473068,0.2265,-19.745537315909502,0.017
3,Bridge SS,-0.07332674363195044,4.327476131784177,4.2955861848383945,1.0074238871189085,4.296211992291132,0.9445,,
4,Naive MS,6.837951964986123,4.305623768255812,4.3143528517081275,0.9979767339964186,8.085247528956652,0.645,13.785231136460737,0.033
4,Naive SS,20.623183101682663,2.4964616085317246,2.491048235353987,1.0021731306126105,20.773083607312362,0.0,,
4,Bridge MS,16.309997445189623,6.388377715815463,6.502008527406161,0.9825237369173324,17.558249672235398,0.2865,0.17685720003342847,0.951
4,Bridge SS,16.51738223918503,3.4758370753704813,3.5733859696622114,0.9727012712536756,16.899497132267687,0.013,,
5,Naive MS,13.388687781384073,4.564409296399165,4.551048116068506,1.0029358468620635,14.141039546729012,0.163,7.474613925725141,0.5125
5,Naive SS,20.86330170695608,2.488099852661861,2.5419500543813456,0.9788153974045763,21.017584737415614,0.0,,
5,Bridge MS,25.654952915010952,6.44447001534461,6.59795224596858,0.9767378991386684,26.489801488714686,0.0405,-8.91924940325225,0.5305
5,Bridge SS,16.7171522841496,3.4963600535455996,3.658670053453486,0.9556368851149398,17.1128328178442,0.014,,
