Scenario,Estimator,Bias,ASE,ESE,SER,RMSE,C,Diag,DiagC
1,Naive MS,-0.03386390457235309,5.3912024536971295,5.387103908156448,1.0007608068473446,5.387210343146753,0.955,-0.03329299414569862,0.96
1,Naive SS,-0.06715689871805172,3.3491383703406354,3.372978936951017,0.9929318957941872,3.3736474264748884,0.949,,
1,Bridge MS,-0.04459471108042576,5.406759624508863,5.397181311901822,1.0017746879442273,5.397365542725323,0.9535,0.09034970199478029,0.953
1,Bridge SS,0.08945887228522899,3.0386075501866925,3.0157367167578544,1.0075838296167399,3.017063279852113,0.952,,
2,Naive MS,-4.372243325751738,5.457063580214443,5.476096088374478,0.9965244386050056,7.007434628213871,0.879,13.645809687151852,0.05
2,Naive SS,9.273566361400116,3.8779878356201807,3.9272646346873543,0.9874526410489533,10.070870894324772,0.3545,,
2,Bridge MS,0.15740864499494875,6.473278717599773,6.447204556641966,1.0040442583648048,6.449125838181797,0.9475,-0.1645220537791045,0.947
2,Bridge SS,-0.03785962299011678,3.8100253196120497,3.8770501928059504,0.9827124050861481,3.8772350391212567,0.938,,
3,Naive MS,11.82921024162721,5.4288754138753195,5.539761894659014,0.9799835294562748,13.0621275751745,0.4105,-2.446323889593265,0.884
3,Naive SS,9.382886352033946,3.877252686530102,3.904062371426731,0.9931328748503494,10.16268956995022,0.326,,
3,Bridge MS,19.894042997399428,6.404461745172117,6.561660084037257,0.9760429012091679,20.948229754344997,0.1345,-19.784192086084573,0.003
3,Bridge SS,0.09501007923222274,3.8084895566500148,3.8978910890942227,0.9770641276524268,3.8990488401141965,0.9405,,
4,Naive MS,6.819477649381342,5.228623522555347,5.291154028810382,0.9881820665369869,8.63143014610024,0.744,13.742727398276491,0.044
4,Naive SS,20.56220504765783,3.5457854163747413,3.504444465322519,1.0117967202680205,20.85870100060056,0.0,,
4,Bridge MS,16.455961661020257,6.10557504066272,6.143407288251889,0.9938418135386342,17.565310338798884,0.2335,-0.027409484396831236,0.949
4,Bridge SS,16.442232714265064,3.563307514628148,3.5008430694621318,1.0178426864405588,16.810797685626028,0.005,,
5,Naive MS,13.50730617910266,5.31128308931007,5.119195602250931,1.0375229825120724,14.444842810848796,0.284,7.32795134979635,0.546
5,Naive SS,20.835257528899007,3.5392313393509,3.5124706870992637,1.007618754613362,21.129254757877153,0.0,,
5,Bridge MS,25.72708632759848,6.143512590699049,5.998617360894084,1.0241547711893677,26.41716073218552,0.0135,-9.074650529874509,0.404
5,Bridge SS,16.625006617523947,3.5616445343599827,3.574295028021563,0.9964607024427463,17.004894294880366,0.0035,,
