Scenario,Estimator,Bias,ASE,ESE,SER,RMSE,C,Diag,DiagC
1,Naive MS,-0.029923838033340432,5.020217003497116,5.042650458521017,0.9955512571794476,5.04273924399278,0.951,0.04917617656916893,0.9415
1,Naive SS,0.019252338535828657,3.5502452553890005,3.6082183785585062,0.9839330336783368,3.608269740458226,0.9545,,
1,Bridge MS,-0.034573420992897556,5.018418966610124,5.035689857080239,0.9965703029852341,5.035808540655607,0.949,0.020981760137809745,0.9465
1,Bridge SS,0.007690456553200853,2.199293492595554,2.244426099076723,0.9798912485914618,2.244439274593713,0.943,,
2,Naive MS,17.676009051989134,6.336590640780256,6.256780350437261,1.012755808238884,18.750695890009514,0.2015,20.404158615714493,0.0
2,Naive SS,38.08016766770363,5.110707893137668,5.1311291246144455,0.9960201291020304,38.42431073804561,0.0,,
2,Bridge MS,-0.08788689995743866,6.564238055597954,6.540047298713541,1.0036988657389636,6.5406377958571005,0.946,0.11856142029908477,0.957
2,Bridge SS,0.058123055760619324,3.6223544988408407,3.6332842185920713,0.9969917795873767,3.633749097376035,0.951,,
3,Naive MS,36.91655692194048,6.279947694096788,6.3062219438896125,0.9958335989398085,37.451309859288855,0.0,1.0909351361152797,0.937
3,Naive SS,38.00749205805577,5.1179960550561265,5.16489396375543,0.9909198699860231,38.356819239869324,0.0,,
3,Bridge MS,18.752330661842468,6.453242193144202,6.595454309637697,0.9784378588923457,19.878378273933606,0.184,-18.8326111280788,0.0
3,Bridge SS,-0.07458673195330065,3.615650122141141,3.71085147765827,0.9743451452880011,3.711600984726408,0.944,,
4,Naive MS,47.96258958230537,6.32267781557233,6.414857416268026,0.9856302962460352,48.389672401368,0.0,20.262321224765756,0.0
4,Naive SS,68.22491080707114,5.104333740679005,5.345094792469575,0.9549566357308077,68.43397177552461,0.0,,
4,Bridge MS,30.160261494936368,6.551295785345574,6.630349287849943,0.9880770229331306,30.88046154321262,0.0045,0.029783448330943332,0.9415
4,Bridge SS,29.961874506708256,3.63700678618663,3.592873492401215,1.0122835646394885,30.176525046600933,0.0005,,
5,Naive MS,57.898816258934495,6.329040902985953,6.50855853579432,0.9724182195149516,58.26348992636571,0.0,10.259106142439064,0.21
5,Naive SS,68.15792240137355,5.107681386956268,5.158629797839698,0.9901236543655904,68.35286275982023,0.0,,
5,Bridge MS,40.10231520768514,6.549193351551701,6.563845380447488,0.9977677675133189,40.63594161816552,0.0,-9.887021738660218,0.2315
5,Bridge SS,30.09705551674159,3.6345667682269567,3.7287733610278138,0.9747352322923457,30.327157821921528,0.0005,,
