Scenario,Estimator,Bias,ASE,ESE,SER,RMSE,C,Diag,DiagC
1,Naive MS,-0.07204571789503467,3.787365934214057,3.9082691687398445,0.9690647626082595,3.908933164021796,0.947,0.049547436613675014,0.9485
1,Naive SS,-0.022498281281359618,2.5881113531781987,2.5670240316409942,1.008214695802331,2.567122621084353,0.9545,,
1,Bridge MS,-0.0657122868911002,3.7883227972439704,3.915297564939841,0.9675695740643351,3.9158489662744023,0.947,0.013603214385313556,0.9475
1,Bridge SS,-0.016493517471444435,2.1395357929375516,2.145741971924764,0.9971076769395318,2.145805360744109,0.9495,,
2,Naive MS,-4.357800224695444,3.101925460980349,3.0712315910083303,1.00999399396056,5.331311872697303,0.715,13.715285441327845,0.0
2,Naive SS,9.357485216632403,2.0552301826002686,2.0039059628328544,1.0256120899480028,9.569648305312532,0.006,,
2,Bridge MS,0.10198152782522692,4.620971284455832,4.59032850142764,1.0066755098286893,4.5914612034772215,0.952,-0.0488593042617491,0.9465
2,Bridge SS,0.05309908975195036,2.7840582367385602,2.7223970304224574,1.0226496009314756,2.7229148177248406,0.9535,,
3,Naive MS,11.687211427147929,3.268250730756752,3.278436033821902,0.9968932433147776,12.138329941582533,0.0595,-2.376631838304758,0.8545
3,Naive SS,9.31057958884317,2.0552179906874386,2.1020810759455517,0.9777063378789834,9.544927298310421,0.0075,,
3,Bridge MS,19.718414579035496,4.602231511710974,4.65539147664064,0.988580989333248,20.26051685696833,0.013,-19.654634310075977,0.0005
3,Bridge SS,0.09536955871330849,2.78063565005624,2.82115563534924,0.9856370968034226,2.8227671656712934,0.9505,,
4,Naive MS,6.819425256179337,2.892858259361341,2.8934717481155454,0.9997879748594041,7.407883610165554,0.346,13.805140001476884,0.0
4,Naive SS,20.62456525765622,1.727706102877254,1.6963614390806792,1.0184775856574302,20.694210161282307,0.0,,
4,Bridge MS,16.293373068649903,4.191027707407747,4.218463940936965,0.9934961554932424,16.830610326877377,0.031,0.10974673841818149,0.948
4,Bridge SS,16.433067506635005,2.312535067387082,2.3552850992764403,0.9818493175613895,16.600996222410778,0.0,,
5,Naive MS,13.38393389952183,3.0493665626253086,3.0332729660258853,1.0053056868866335,13.723353508278985,0.0055,7.391645130655999,0.1685
5,Naive SS,20.77557903017783,1.7226438957315027,1.703603167522288,1.0111767391445434,20.84530997110757,0.0,,
5,Bridge MS,25.625537530928888,4.213646803840141,4.212765808354241,1.0002091251984984,25.969512307802077,0.0,-8.991892764783554,0.196
5,Bridge SS,16.645099001657552,2.3068496221331105,2.29568030614226,1.0048653621155204,16.80266255219662,0.0,,
