Scenario,Estimator,Bias,ASE,ESE,SER,RMSE,C,Diag,DiagC
1,Naive MS,0.05334926233230901,3.292782253138767,3.2556408033356066,1.0114083377272785,3.256077883610144,0.9565,-0.02785448689994371,0.9595
1,Naive SS,0.02549477543236532,2.3279958546288073,2.2920956078242885,1.0156626305996879,2.2922373914980403,0.955,,
1,Bridge MS,0.05112616715130444,3.287960087122144,3.2450340862810756,1.0132282126164853,3.2454368128333106,0.9575,-0.03561574177065904,0.9585
1,Bridge SS,0.016595510932450715,1.4216269785818425,1.3696520965781729,1.0379475066212211,1.3697526333773167,0.959,,
2,Naive MS,17.852746656884964,4.100808084812966,4.056665253802152,1.0108815562165108,18.30784247737354,0.008,20.305371334810502,0.0
2,Naive SS,38.158117991695455,3.2945409152434824,3.3004866664613957,0.9981985228789644,38.30058982448758,0.0,,
2,Bridge MS,0.08233759346674818,4.263013121220055,4.224824039522113,1.009039212364987,4.2256263020080045,0.9475,0.025191209185777674,0.9485
2,Bridge SS,0.07994039699918687,2.3634331959461683,2.4156564135573553,0.9783813553458616,2.4169787701660046,0.9425,,
3,Naive MS,37.21146822701271,4.056171610925328,4.065872647919171,0.9976140332386436,37.43293587202417,0.0,1.0119365026333116,0.925
3,Naive SS,38.22340472964602,3.2942096543455786,3.3624188711466307,0.9797142416174366,38.37101158154901,0.0,,
3,Bridge MS,19.146763129828834,4.1912209256750685,4.109594465497379,1.0198624124260909,19.582831894815918,0.0035,-19.082674832394886,0.0
3,Bridge SS,-0.03765530663494769,2.362217765083963,2.292234424764399,1.030530620936276,2.2925436921011446,0.959,,
4,Naive MS,47.88269511514612,4.099918431416208,4.052675893770764,1.011657122080268,48.05389342592324,0.0,20.26937699744521,0.0
4,Naive SS,68.15207211259134,3.288974762706269,3.2487805779920813,1.0123720835400432,68.22946217349063,0.0,,
4,Bridge MS,30.093210741398778,4.260770715739847,4.257037360588065,1.0008769843521568,30.3928231629719,0.0,-0.04420147366861529,0.9485
4,Bridge SS,29.956477151585613,2.3596250092772584,2.352967665863452,1.0028293390981908,30.048743404176985,0.0,,
5,Naive MS,57.84718154986162,4.097730803870546,4.16841717917382,0.9830423942074618,57.99717333665738,0.0,10.36539528367091,0.012
5,Naive SS,68.21257683353254,3.2889680436586026,3.317875977969511,0.9912872167305664,68.29322030242655,0.0,,
5,Bridge MS,40.02621783251968,4.268195109006489,4.387574074831502,0.9727915782642148,40.265977204563775,0.0,-10.010006466577615,0.0165
5,Bridge SS,29.925647958300193,2.365486833964942,2.4399481431408505,0.9694824214255402,30.02495216757777,0.0,,
